author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
House Estate;real_estate_agent;https://spb.cian.ru/sale/flat/295406679/;Зеленоград;sale;flat;2;3;1;26.0;3800000;Коммунар; Славянская;8к2;;Ново-Антропшино
Магазин новостроек;representative_developer;https://krasnodar.cian.ru/sale/flat/301286107/;Зеленоград;sale;flat;3;3;1;47.7;4841550;Прикубанский; Имени Валерия Вишневецкого;13/3;;Отрада
Агентство недвижимости Романа Чиковани;real_estate_agent;https://spb.cian.ru/sale/flat/304650198/;Зеленоград;sale;flat;4;12;2;45.0;7700000;;проспект Строителей;5к1;Улица Дыбенко;ID Kudrovo
Магазин новостроек;representative_developer;https://sochi.cian.ru/sale/flat/303252456/;Зеленоград;sale;flat;3;24;4;74.7;57950000;Хостинский;Курортный проспект;108;;Сан Сити
БАРС Лизинг;real_estate_agent;https://balashikha.cian.ru/sale/flat/306496312/;Зеленоград;sale;flat;14;24;1;41.3;7100000;; Разина;1А;Салтыковская;28 микрорайон
БАРС Лизинг;real_estate_agent;https://balashikha.cian.ru/sale/flat/296593080/;Зеленоград;sale;flat;3;24;1;46.8;7773000;; Разина;1А;Салтыковская;28 микрорайон
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://vidnoye.cian.ru/sale/flat/302233308/;Зеленоград;sale;flat;4;14;2;53.0;11450000;пос. Развилка;проезд Римский;5;;Римский
Юр-Инвест;developer;https://solnechnogorsk.cian.ru/sale/flat/296012777/;Зеленоград;sale;flat;4;4;3;79.52;15701921;;;;;Бакеево-парк
ID 98396578;homeowner;https://www.cian.ru/sale/flat/308733860/;Зеленоград;sale;flat;1;9;2;45.0;17800000;Красносельский;Протопоповский переулок;38;Площадь трёх вокзалов;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303476382/;Зеленоград;sale;flat;8;20;3;58.96;28000000;Даниловский;Автозаводская ;23с931к3;Технопарк;WOW
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308009678/;Зеленоград;sale;flat;12;17;2;57.8;27927000;Раменки;Мичуринский проспект;21К1;Раменки;
Ольга Медведева;realtor;https://www.cian.ru/sale/flat/308794411/;Зеленоград;sale;flat;4;31;2;71.0;31100000;Марфино;Ботаническая ;29Ак3;Владыкино;VERY
TWEED;real_estate_agent;https://www.cian.ru/sale/flat/307461277/;Зеленоград;sale;flat;24;51;3;82.1;32000000;Пресненский;Шмитовский проезд;39к5;Шелепиха;Headliner
Optima Development;developer;https://www.cian.ru/sale/flat/301041605/;Зеленоград;sale;flat;2;41;2;48.0;33762426;Хорошевский;Ленинградский проспект;37/2;Петровский Парк;Прайм Парк
ID 447844;homeowner;https://www.cian.ru/sale/flat/303627675/;Зеленоград;sale;flat;7;23;3;95.2;37900000;Сокол;Факультетский переулок;6;Стрешнево;
Юлия Иванова;realtor;https://www.cian.ru/sale/flat/308326285/;Зеленоград;sale;flat;5;12;3;72.0;43500000;Даниловский; Виктора Маслова;2;Автозаводская;RiverSky
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/308099078/;Зеленоград;sale;flat;21;21;4;106.0;70000000;Лефортово;проезд Невельского;3к2;Авиамоторная;Символ
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303022746/;Зеленоград;sale;flat;4;14;2;119.3;105000000;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
Prime;real_estate_agent;https://www.cian.ru/sale/flat/305150347/;Зеленоград;sale;flat;44;44;3;136.0;150000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/307947777/;Зеленоград;sale;flat;41;41;4;165.0;230000000;Раменки;1-й Сетуньский проезд;8;Кутузовская;Hide
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305920240/;Зеленоград;sale;flat;4;6;5;222.8;245080000;Раменки;Минская ;2Вк3;Минская;Снегири Эко
